Tunnus;Nimi;Tietoa;Suure;Päävesistöalue nro;Kunta;Maakunta;Omistaja;Ylläpitoluokka;Havaintoverkko;Tarkistus;EnsimmainenHavainto;ViimeisinHavainto
54704;Pyhäjoki,Venetpalo;Havaintopaikan tiedot ;SA;Pyhäjoki, 54.041;Kärsämäki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1965;1.4.1980
54801;Hourunkoski;Havaintopaikan tiedot ;SA;Pyhäjoki, 54.011;Pyhäjoki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
54803;Haapavesi-Haapakoski;Havaintopaikan tiedot ;SA;Pyhäjoki, 54.031;Haapavesi;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
57106;Lamujoki;Havaintopaikan tiedot ;SA;Siikajoki, 57.061;Siikalatva;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1978;1.4.1980
57502;Uljua;Havaintopaikan tiedot ;SA;Siikajoki, 57.023;Siikalatva;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.11.1971;1.2.2026
57701;Harjuniva;Havaintopaikan tiedot ;SA;Siikajoki, 57.011;Siikajoki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
57702;Siikajoki,Heikkilänkoski;Havaintopaikan tiedot ;SA;Siikajoki, 57.021;Siikalatva;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.2.1954;1.2.2026
57801;Siikajoki,Länkelä;Havaintopaikan tiedot ;SA;Siikajoki, 57.012;Siikajoki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1951;1.2.2026
59193;Änättijärvi-Änättikoski;Havaintopaikan tiedot ;SA;Oulujoki, 59.931;Kuhmo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
59211;Oulujärvi+Oulujoki Yht.Alue;Havaintopaikan tiedot ;SA;Perämeren rannikkoalue, 84V110;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.3.1991;16.10.1960;1.3.1991
