paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta
2973;2300210;Pitkäjärvi, meijerin laituri;W;Vedenkorkeus;23.071;Jatkuva;07.01.1998;19.12.2025;Uusimaa
2976;2300200;Pusulanjärvi eli Jäämäjärvi, luusua;W;Vedenkorkeus;23.062;Jatkuva;01.01.1977;19.12.2025;Uusimaa
2978;1500600;Taasianjoki, Holmankoski;W;Vedenkorkeus;15.002;Jatkuva;01.01.1980;19.12.2025;Uusimaa
2980;1601100;Koskenkylänjoki, Niinikoski;W;Vedenkorkeus;16.001;Jatkuva;25.03.1981;19.12.2025;Uusimaa
2985;8102000;Loviisanjoki, urheilukenttä;W;Vedenkorkeus;81.027;Jatkuva;02.02.1996;19.12.2025;Uusimaa
2986;2200100;Enäjärvi, Hulttilanjoki;W;Vedenkorkeus;22.004;Jatkuva;01.01.1977;19.12.2025;Uusimaa
2990;2300240;Nummenjoki, Pirkkula;W;Vedenkorkeus;23.061;Jatkuva;09.06.1981;19.12.2025;Uusimaa
2992;2300340;Vihtijärvi, Sorvarinjoki;W;Vedenkorkeus;23.092;Jatkuva;08.01.1983;19.12.2025;Uusimaa
3002;2000200;Sipoonjoki, Brobölen pato;W;Vedenkorkeus;20.001;Jatkuva;19.05.1981;19.12.2025;Uusimaa
3005;8102800;Espoonjoki;W;Vedenkorkeus;81.055;Jatkuva;24.03.1995;19.12.2025;Uusimaa
3015;2104700;Luhtajoki (Hagalund);W;Vedenkorkeus;21.051;Jatkuva;07.01.1997;19.12.2025;Uusimaa
3017;2104900;Lepsämänjoki;W;Vedenkorkeus;21.041;Jatkuva;01.04.1996;19.12.2025;Uusimaa
3021;0410440;Purnujärvi;W;Vedenkorkeus;04.193;Jatkuva;15.05.1977;19.12.2025;Etelä-Karjala
3025;0900100;Urpalanjärvi;W;Vedenkorkeus;09.006;Jatkuva;01.03.1964;19.12.2025;Etelä-Karjala
3026;0900200;Suurijärvi;W;Vedenkorkeus;09.002;Jatkuva;01.01.1965;19.12.2025;Etelä-Karjala
3027;1300200;Enäjärvi-Sanijärvi;W;Vedenkorkeus;13.002;Jatkuva;01.10.1973;19.12.2025;Kymenlaakso
3028;1300100;Saaramaanjärvi;W;Vedenkorkeus;13.003;Jatkuva;01.10.1973;19.12.2025;Kymenlaakso
3031;1411210;Ahvenkoski ylä;W;Vedenkorkeus;14.111;Jatkuva;01.03.2001;18.12.2025;Kymenlaakso
3032;1411240;Ahvenkoski ala;W;Vedenkorkeus;81V024;Jatkuva;01.03.2001;18.12.2025;Kymenlaakso
3034;1409710;Värälä;W;Vedenkorkeus;14.113;Jatkuva;03.01.1974;18.12.2025;Kymenlaakso
3035;1410910;Ediskoski ylä (stockfors);W;Vedenkorkeus;14.111;Jatkuva;01.03.1975;18.12.2025;Kymenlaakso
3036;1411140;Stråka ylä;W;Vedenkorkeus;14.111;Jatkuva;01.03.1975;18.12.2025;Kymenlaakso
3037;1411100;Klåsarö, ylävesi;W;Vedenkorkeus;14.111;Jatkuva;01.03.1975;18.12.2025;Kymenlaakso
3040;1408910;Kannus- eli Ruokokoski, ylä;W;Vedenkorkeus;14.183;Jatkuva;01.03.1975;18.12.2025;Kymenlaakso
3041;1408920;Kannus- eli  Ruokokoski, ala;W;Vedenkorkeus;14.183;Jatkuva;01.03.1975;18.12.2025;Kymenlaakso
