fid,paikka_id,tunnus,nimi,suurekoodi,suure,vesistonumero,tila,ensimmainenhavainto,viimeisinhavainto,koordertmpohj,koordertmita,layer,path,namefin
22,935,"0406260","Porovesi, Nerohvirta",Q,Virtaama,"04.512",Jatkuva,01.01.1983,14.02.2026,7037731,511112,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
23,937,"0406460","Onkivesi, Viannonkoski",Q,Virtaama,"04.511",Jatkuva,01.09.1977,15.02.2026,7010162,510224,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
24,938,"0406610",Pulkonkoski,Q,Virtaama,"04.287",Jatkuva,06.04.1982,15.02.2026,6999985,508825,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
25,939,"0406750","Laakajärvi, Kiltua",Q,Virtaama,"04.644",Jatkuva,01.01.1983,05.02.2026,7078555,544040,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
26,941,"0406860","Kiltuanjärvi, Jyrkkä",Q,Virtaama,"04.643",Jatkuva,13.04.1998,05.02.2026,7072447,539862,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
27,943,"0406950",Sälevä,Q,Virtaama,"04.642",Jatkuva,01.01.1991,05.02.2026,7043205,547192,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
28,944,"0407050",Atro,Q,Virtaama,"04.641",Jatkuva,01.01.1957,05.02.2026,7027506,549408,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
29,946,"0407260","Syväri, Lastukoski",Q,Virtaama,"04.631",Jatkuva,01.01.1989,05.02.2026,7009047,564162,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
30,949,"0407410",Keyritty - luusua,Q,Virtaama,"04.673",Jatkuva,01.01.1987,15.02.2026,7027602,568768,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
31,951,"0407750",Karjalankoski,Q,Virtaama,"04.612",Jatkuva,01.01.1961,05.02.2026,6991270,565982,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
32,954,"0408081","Kallavesi, Konnus",Q,Virtaama,"04.272",Jatkuva,01.01.1931,05.02.2026,6935678,539528,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
33,955,"0408087",Kallavesi - Konnus + Karvio,Q,Virtaama,"04.272",Jatkuva,01.01.1931,05.02.2026,6935678,539528,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
34,956,"0408300",Saarijärvi - luusua,Q,Virtaama,"04.741",Jatkuva,01.01.1961,15.02.2026,6978951,583939,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
35,958,"0408320",Kajoonjärvi - luusua,Q,Virtaama,"04.761",Jatkuva,01.01.1975,14.02.2026,7003924,595687,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
36,961,"0408650","Juojärvi, Palokki",Q,Virtaama,"04.711",Jatkuva,01.01.1961,13.02.2026,6937819,583547,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
37,962,"0408700","Varisvesi, Karvio",Q,Virtaama,"04.273",Jatkuva,01.01.1911,15.02.2026,6932595,584433,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
38,963,"0408900",Kermajärvi - luusua,Q,Virtaama,"04.274",Jatkuva,01.01.1970,15.02.2026,6919511,590583,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
39,964,"0409550","Sorsavesi, Sorsakoski",Q,Virtaama,"04.263",Jatkuva,01.10.1988,05.02.2026,6924481,534007,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
40,967,"0409950",Maavesi,Q,Virtaama,"04.252",Jatkuva,01.01.1960,05.02.2026,6898708,529997,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
41,969,"0410400",Lohnajärvi - luusua,Q,Virtaama,"04.172",Jatkuva,01.01.1975,15.02.2026,6856503,568601,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Etelä-Savo
42,970,"0410410",Kuolimo - luusua,Q,Virtaama,"04.141",Jatkuva,01.01.1971,15.02.2026,6793256,537580,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Etelä-Karjala
