paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN;KoordErTmIta;KoordErTmPohj
3052;5300120;Kiljanjärvi;W;Vedenkorkeus;53.057;Jatkuva;1.1.1976;18.1.2026;Pohjois-Pohjanmaa;38;0;;;;397416;7056143
3053;5300410;Pidisjärvi;W;Vedenkorkeus;53.033;Jatkuva;1.1.1992;18.1.2026;Pohjois-Pohjanmaa;38;0;;;;397918;7089242
3055;5300130;Korpinen;W;Vedenkorkeus;53.058;Jatkuva;25.1.1969;18.1.2026;Pohjois-Pohjanmaa;-96;-134;;;;398663;7062556
3056;5300140;Iso-Juurikka;W;Vedenkorkeus;53.059;Jatkuva;9.1.1969;18.1.2026;Pohjois-Pohjanmaa;72;34;;;;399233;7071615
3062;8103200;Ingarskilaån;W;Vedenkorkeus;81.064;Jatkuva;13.6.2001;19.1.2026;Uusimaa;122;97;;;;344771;6661992
3068;2100210;Vantaanjoki, Paloheimo;W;Vedenkorkeus;21.023;Jatkuva;1.9.2001;18.1.2026;Kanta-Häme;26;0;;;;378788;6734418
3072;3602110;Salmus ala;W;Vedenkorkeus;36.013;Jatkuva;8.9.1999;19.1.2026;Satakunta;3422;3384;;;;227340;6851424
3075;1300101;Reitkalli, Puutarhak. silta;W;Vedenkorkeus;13.001;Jatkuva;2.4.2003;18.1.2026;Kymenlaakso;910;889;;884;;505508;6720553
3078;6100222;Turpeisenjärvi;W;Vedenkorkeus;61.313;Jatkuva;29.6.1965;30.6.2012;Pohjois-Pohjanmaa;910;889;;884;;586017;7267188
3079;6100710;Pudasjärvi, Tuulisalmi;W;Vedenkorkeus;61.133;Jatkuva;8.4.1959;18.1.2026;Pohjois-Pohjanmaa;50;14;;0;;495472;7250237
3082;8102510;Nuuksion Pitkäjärvi;W;Vedenkorkeus;81.057;Jatkuva;1.1.1973;30.10.2025;Uusimaa;50;14;;0;;366713;6681900
3084;2300944;Kirkkojärvi, Karjaa;W;Vedenkorkeus;23.012;Jatkuva;2.1.1975;18.1.2026;Uusimaa;50;14;;0;;316265;6666340
3093;8102520;Bodom;W;Vedenkorkeus;81.055;Jatkuva;1.1.1973;18.1.2026;Uusimaa;50;14;;0;;370226;6680847
3095;5902240;Katerma, ylä;W;Vedenkorkeus;59.911;Jatkuva;;;Kainuu;50;14;;0;;596216;7109220
3100;3510730;Pori, Rauman silta;W;Vedenkorkeus;35.111;Jatkuva;;;Satakunta;36;0;;;;222766;6828516
3103;3509112;Koijärvi;W;Vedenkorkeus;35.965;Jatkuva;18.1.1983;18.1.2026;Kanta-Häme;29;0;;;;322831;6763903
3104;3509111;Pehkijärvi;W;Vedenkorkeus;35.933;Jatkuva;1.4.1971;18.1.2026;Kanta-Häme;28;0;;;;332321;6748543
3107;3502530;Äimäjärvi;W;Vedenkorkeus;35.262;Jatkuva;24.8.1982;18.1.2026;Kanta-Häme;8136;8109;;8100;;344343;6775743
3108;3509130;Kaartjärvi;W;Vedenkorkeus;35.887;Jatkuva;10.3.1938;18.1.2026;Kanta-Häme;27;0;;;;346534;6737575
3113;3502310;Alajärvi;W;Vedenkorkeus;35.892;Jatkuva;1.1.2007;17.1.2026;Kanta-Häme;0;-27;-44;;;358510;6761623
3114;3502200;Loppijärvi;W;Vedenkorkeus;35.874;Jatkuva;28.10.1943;18.1.2026;Kanta-Häme;37;10;;0;;361491;6732866
3116;3502420;Ojajärvi;W;Vedenkorkeus;35.876;Jatkuva;1.1.1992;18.1.2026;Kanta-Häme;37;10;;0;;362042;6737077
