paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2348;5300710;Alavieska;W;Vedenkorkeus;53.022;Lopetettu;1.7.1912;31.12.1979;Pohjois-Pohjanmaa;4431.0;4389.0;4351.0;;
2350;5300800;Tynkä;W;Vedenkorkeus;53.012;Lopetettu;1.1.1911;31.12.1990;Pohjois-Pohjanmaa;1640.0;1598.0;1550.0;;
2351;5301100;Vääräjoki, Rautio;W;Vedenkorkeus;53.091;Lopetettu;29.4.1913;31.12.1993;Pohjois-Pohjanmaa;5018.0;4976.0;4930.0;;
2353;5400110;Pyhäjärvi, etelä;W;Vedenkorkeus;54.044;Lopetettu;24.9.1986;30.4.1992;Pohjois-Pohjanmaa;5018.0;4976.0;4930.0;;
2354;5400120;Kuppaankoski;W;Vedenkorkeus;54.044;Lopetettu;1.1.1937;26.2.1959;Pohjois-Pohjanmaa;5018.0;4976.0;4930.0;;
2356;5400210;Mieluskoski;W;Vedenkorkeus;54.022;Lopetettu;1.9.1979;30.6.1992;Pohjois-Pohjanmaa;8234.0;8193.0;;;
2357;5400220;Haapakoski;W;Vedenkorkeus;54.031;Lopetettu;1.9.1993;31.12.1995;Pohjois-Pohjanmaa;41.0;0.0;;;
2358;5400300;Napurinkallio;W;Vedenkorkeus;54.012;Lopetettu;22.6.1933;30.4.1971;Pohjois-Pohjanmaa;4262.0;4220.0;4183.0;;
2359;5400400;Pyhänkoski;W;Vedenkorkeus;54.012;Lopetettu;1.1.1912;21.11.1984;Pohjois-Pohjanmaa;3050.0;3008.0;;2993.0;
2362;5700200;Sipola;W;Vedenkorkeus;57.022;Lopetettu;26.10.1935;31.12.1970;Pohjois-Pohjanmaa;5462.0;5423.0;5387.0;;
2364;5700300;Mankila;W;Vedenkorkeus;57.021;Lopetettu;1.11.1935;31.12.1974;Pohjois-Pohjanmaa;4643.0;4604.0;4568.0;;
2370;5900200;Kiantajärvi, Suomussalmi;W;Vedenkorkeus;59.511;Lopetettu;01.01.1896;31.12.1962;Kainuu;19702.0;19673.0;19645.0;;
2371;5900210;Kiantajärvi, Ämmänsaari;W;Vedenkorkeus;59.511;Lopetettu;1.1.1951;31.12.1957;Kainuu;;;18210.0;;
2373;5900340;Iso Parvajärvi;W;Vedenkorkeus;59.651;Lopetettu;5.2.1976;19.6.2018;Kainuu;20511.0;20482.0;;;
2376;5900500;Niemelänjärvi;W;Vedenkorkeus;59.721;Lopetettu;1.4.1951;17.6.1975;Kainuu;20511.0;20482.0;;;
2382;5901000;Iijärvi;W;Vedenkorkeus;59.412;Lopetettu;1.1.1947;31.12.1967;Kainuu;13210.0;13180.0;;13167.0;
2388;5901830;Alasjärvi;W;Vedenkorkeus;59.976;Lopetettu;12.10.1976;31.12.1993;Kainuu;18716.0;18689.0;;;
2390;5902000;Lammasjärvi;W;Vedenkorkeus;59.912;Lopetettu;01.01.1896;31.12.1940;Kainuu;;;16130.0;;
