paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2380;5900900;Ristijärvi;W;Vedenkorkeus;59.412;Jatkuva;1.4.1938;18.12.2025;Kainuu;43;13;;0;
2381;5900940;Uva;W;Vedenkorkeus;59.442;Jatkuva;1.1.1976;19.12.2025;Kainuu;15282;15253;;;
2383;5901110;Kivesjärvi;W;Vedenkorkeus;59.351;Jatkuva;1.2.1974;19.12.2025;Kainuu;13488;13457;;;
2384;5901320;Änättijärvi;W;Vedenkorkeus;59.931;Jatkuva;14.8.1911;19.12.2025;Kainuu;18198;18170;18140;;
2385;5901600;Kalliojärvi;W;Vedenkorkeus;59.952;Jatkuva;22.3.1974;19.12.2025;Kainuu;17582;17554;;;
2386;5901710;Lentua;W;Vedenkorkeus;59.921;Jatkuva;1.1.1911;19.12.2025;Kainuu;16762;16734;16704;;
2387;5901820;Saunajärvi;W;Vedenkorkeus;59.977;Jatkuva;1.4.1986;19.12.2025;Kainuu;19466;19440;;;
2389;5901900;Lammasjärvi;W;Vedenkorkeus;59.912;Jatkuva;1.1.1937;18.12.2025;Kainuu;53;26;0;;
2391;5902100;Kellojärvi;W;Vedenkorkeus;59.942;Jatkuva;14.6.1912;19.12.2025;Kainuu;16053;16026;;;
2394;5902210;Ontojärvi, Paloniemi;W;Vedenkorkeus;59.911;Jatkuva;1.1.1957;18.12.2025;Kainuu;58;30;0;;
2397;5902400;Kaitainsalmi;W;Vedenkorkeus;59.822;Jatkuva;1.1.1962;19.12.2025;Kainuu;59;30;0;;
2399;5902530;Jormasjärvi;W;Vedenkorkeus;59.882;Jatkuva;17.11.1976;19.12.2025;Kainuu;14416;14386;;;
2400;5902610;Nuasjärvi, Rehjanselkä;W;Vedenkorkeus;59.811;Jatkuva;25.11.1956;19.12.2025;Kainuu;63;33;0;;
2405;5903210;Oulujärvi, Melalahti;W;Vedenkorkeus;59.331;Jatkuva;1.1.1957;18.12.2025;Kainuu;65;34;0;;
2408;5903330;Oulujärvi, Vuottolahti;W;Vedenkorkeus;59.321;Jatkuva;1.1.1977;18.12.2025;Kainuu;65;33;0;;
2409;5903410;Oulujärvi, Vaala;W;Vedenkorkeus;59.311;Jatkuva;1.1.1950;18.12.2025;Pohjois-Pohjanmaa;72;38;0;;
2410;5903470;Otermajärvi;W;Vedenkorkeus;59.262;Jatkuva;18.3.1974;19.12.2025;Pohjois-Pohjanmaa;14046;14012;;;
2415;6000100;Porkkalan silta;W;Vedenkorkeus;60.022;Jatkuva;1.12.1961;19.12.2025;Pohjois-Pohjanmaa;7451;7414;;7401;
2416;6000110;Iso Puutiojärvi;W;Vedenkorkeus;60.052;Jatkuva;27.2.1974;19.12.2025;Kainuu;14936;14902;;;
2418;6000200;Nuorittajoki;W;Vedenkorkeus;60.061;Jatkuva;1.1.1963;19.12.2025;Pohjois-Pohjanmaa;8567;8530;;8517;
2420;6000410;Haukipudas;W;Vedenkorkeus;60.011;Jatkuva;1.1.1976;19.12.2025;Pohjois-Pohjanmaa;967;927;890;;
2423;6100200;Irnijärvi;W;Vedenkorkeus;61.321;Jatkuva;1.1.1967;18.12.2025;Pohjois-Pohjanmaa;43;13;;0;
2425;6100220;Tyräjärvi;W;Vedenkorkeus;61.381;Jatkuva;1.1.1961;19.12.2025;Pohjois-Pohjanmaa;22325;22294;;;
2426;6100230;Jokijärvi;W;Vedenkorkeus;61.312;Jatkuva;19.2.1960;18.12.2025;Pohjois-Pohjanmaa;44;13;;0;
2428;6100300;Kostonjärvi;W;Vedenkorkeus;61.622;Jatkuva;1.1.1965;18.12.2025;Pohjois-Pohjanmaa;65;33;0;;
